drug_idx,disease_idx,drug_fp_score,dis_ps_score,gip_drug_score,gip_dis_score,combined_score
282,231,0.1028,0.4314,0.3509,0.6159,0.2775
656,241,0.1147,0.3299,0.5923,0.6159,0.2771
487,82,0.1258,0.5039,0.27,0.3603,0.2771
642,367,0.2191,0.3189,0.4716,0.2337,0.2757
55,79,0.1407,0.4748,0.3832,0.246,0.2757
569,184,0.1712,0.3097,0.2698,0.7015,0.2756
128,31,0.1027,0.3845,0.4559,0.6159,0.2739
445,241,0.143,0.3018,0.5923,0.5241,0.2737
560,190,0.1351,0.3842,0.5167,0.3799,0.2725
13,194,0.1401,0.2742,0.4559,0.7239,0.2703
660,50,0.2071,0.3397,0.3509,0.2937,0.2699
606,26,0.2135,0.2557,0.4559,0.4045,0.2695
413,53,0.1236,0.4644,0.2078,0.4637,0.2683
272,82,0.1073,0.5039,0.27,0.3603,0.2678
619,263,0.1089,0.271,0.5923,0.7239,0.2674
15,241,0.1089,0.271,0.5923,0.7239,0.2674
12,61,0.1264,0.36,0.4034,0.5522,0.2667
656,363,0.1117,0.3451,0.4559,0.6159,0.2666
641,367,0.1998,0.3189,0.4716,0.2337,0.2661
380,194,0.1308,0.3093,0.3509,0.7239,0.2657
15,194,0.1113,0.3069,0.4559,0.7239,0.2657
644,241,0.132,0.3407,0.5923,0.3794,0.2654
647,367,0.217,0.2336,0.6127,0.2542,0.2653
23,82,0.1282,0.4933,0.27,0.2542,0.2645
380,363,0.1308,0.3051,0.3509,0.7239,0.2644
13,7,0.1078,0.482,0.3843,0.2746,0.2644
642,389,0.2056,0.3425,0.2078,0.3794,0.2643
264,241,0.1047,0.3824,0.5923,0.3794,0.2642
4,203,0.1019,0.353,0.4559,0.6159,0.264
487,91,0.1258,0.4578,0.27,0.3603,0.2633
659,399,0.2161,0.3189,0.3579,0.2337,0.2629
472,140,0.1093,0.3363,0.4559,0.6159,0.2627
648,203,0.129,0.3816,0.4559,0.3794,0.2625
386,241,0.1241,0.2715,0.4559,0.7239,0.2615
515,84,0.1485,0.2892,0.681,0.3228,0.2614
58,345,0.1575,0.3885,0.2816,0.3794,0.2614
23,83,0.1406,0.431,0.3832,0.2334,0.2612
77,50,0.2085,0.348,0.27,0.2509,0.2607
23,79,0.1406,0.4239,0.3832,0.2334,0.2591
15,72,0.1246,0.3588,0.27,0.6159,0.2585
642,50,0.2056,0.3233,0.2078,0.3794,0.2585
249,263,0.1113,0.2816,0.4559,0.7239,0.2581
585,241,0.139,0.3393,0.5923,0.2746,0.258
648,241,0.1172,0.3407,0.5923,0.3794,0.258
249,285,0.1401,0.2316,0.4559,0.7239,0.2575
13,203,0.1053,0.2874,0.4559,0.7239,0.2568
648,363,0.1599,0.3096,0.4559,0.3794,0.2564
441,238,0.1643,0.2857,0.3104,0.57,0.2559
659,85,0.2152,0.2974,0.3565,0.2337,0.2558
641,389,0.1881,0.3425,0.2078,0.3794,0.2555
487,79,0.139,0.3911,0.3832,0.2987,0.255
656,194,0.1117,0.3048,0.4559,0.6159,0.2545
272,91,0.1073,0.4578,0.27,0.3603,0.254
632,26,0.1433,0.3098,0.5923,0.2987,0.2537
39,263,0.1117,0.3017,0.4559,0.6159,0.2535
134,286,0.1246,0.3107,0.4559,0.5241,0.2535
234,204,0.1052,0.3672,0.4559,0.4459,0.2529
15,363,0.1113,0.2564,0.4559,0.7239,0.2506
380,108,0.1122,0.3244,0.3509,0.6159,0.2501
55,91,0.1241,0.4445,0.27,0.2746,0.2499
641,50,0.1881,0.3233,0.2078,0.3794,0.2497
508,132,0.148,0.2206,0.3714,0.7239,0.2497
380,285,0.1053,0.2631,0.4559,0.7239,0.2495
134,285,0.11,0.2755,0.5923,0.5241,0.2493
191,241,0.1215,0.3393,0.5923,0.2746,0.2492
30,15,0.191,0.1848,0.4559,0.5234,0.2489
544,241,0.1189,0.3393,0.5923,0.2746,0.2479
221,203,0.1468,0.3502,0.4559,0.2337,0.2474
282,194,0.1123,0.2384,0.4559,0.7239,0.2456
153,367,0.2175,0.1975,0.3629,0.4121,0.2455
134,194,0.1165,0.2967,0.4559,0.5241,0.2453
264,363,0.1376,0.3087,0.4559,0.3794,0.2449
13,363,0.1401,0.189,0.4559,0.7239,0.2448
272,79,0.1168,0.3911,0.3832,0.2987,0.2439
648,204,0.129,0.3196,0.4559,0.3794,0.2439
659,26,0.2215,0.1474,0.27,0.6159,0.2435
619,205,0.1241,0.211,0.4559,0.7239,0.2433
55,84,0.143,0.3159,0.5241,0.246,0.2433
144,26,0.1587,0.3478,0.27,0.3228,0.243
592,83,0.1108,0.411,0.2949,0.3478,0.243
58,265,0.1775,0.3403,0.2463,0.2746,0.2429
282,205,0.1253,0.2066,0.4559,0.7239,0.2426
472,206,0.1023,0.1986,0.5923,0.7239,0.2424
6,400,0.1023,0.1986,0.5923,0.7239,0.2424
13,204,0.1053,0.2387,0.4559,0.7239,0.2422
276,80,0.145,0.2892,0.505,0.3228,0.2421
645,303,0.1792,0.2964,0.2554,0.3794,0.242
502,258,0.1225,0.1758,0.7696,0.5084,0.2418
508,400,0.1408,0.2472,0.5923,0.3794,0.2417
504,241,0.1058,0.3393,0.5923,0.2746,0.2414
279,191,0.1304,0.1835,0.5923,0.6159,0.2411
249,30,0.1174,0.2489,0.3509,0.7239,0.2409
234,363,0.1181,0.3053,0.4559,0.4459,0.2408
18,194,0.1174,0.2482,0.3509,0.7239,0.2407
445,194,0.1552,0.2169,0.4559,0.5241,0.2407
326,46,0.175,0.2979,0.2078,0.4262,0.2403
134,230,0.1075,0.3298,0.3509,0.5241,0.2402
23,91,0.1282,0.4121,0.27,0.2542,0.2401
134,281,0.1079,0.2939,0.4559,0.5241,0.2401
234,71,0.1364,0.179,0.4559,0.7239,0.2399
174,26,0.1632,0.3071,0.4559,0.2061,0.2399
660,389,0.2071,0.2397,0.3509,0.2937,0.2399
648,194,0.1599,0.2541,0.4559,0.3794,0.2397
491,241,0.1198,0.1959,0.5923,0.6159,0.2395
249,203,0.1308,0.2219,0.3509,0.7239,0.2394
58,367,0.1454,0.3189,0.4716,0.2337,0.2389
264,204,0.1265,0.3063,0.4559,0.3794,0.2387
121,275,0.1012,0.3373,0.5923,0.2746,0.2385
234,223,0.1129,0.3405,0.3509,0.4459,0.2383
347,169,0.1016,0.2217,0.5923,0.6159,0.2381
638,72,0.1269,0.3169,0.27,0.5241,0.2379
249,72,0.1647,0.2434,0.2078,0.6159,0.2378
604,31,0.1648,0.1953,0.3509,0.6159,0.2377
234,194,0.1181,0.295,0.4559,0.4459,0.2377
432,32,0.1117,0.3144,0.3509,0.5241,0.2377
234,263,0.1068,0.2671,0.5923,0.4459,0.2374
641,265,0.1659,0.3403,0.2463,0.2746,0.2371
128,238,0.1251,0.2719,0.4034,0.5241,0.2369
134,204,0.1264,0.2518,0.4559,0.5241,0.2367
264,400,0.1222,0.261,0.5923,0.3794,0.2366
234,203,0.1052,0.3117,0.4559,0.4459,0.2363
386,238,0.1354,0.253,0.3104,0.6159,0.2363
58,389,0.1492,0.3425,0.2078,0.3794,0.2361
386,92,0.1253,0.1835,0.4559,0.7239,0.2357
386,26,0.1188,0.2766,0.2078,0.7239,0.2356
264,286,0.1322,0.286,0.4559,0.3794,0.2355
642,26,0.2199,0.2364,0.27,0.2746,0.2353
638,140,0.1038,0.2838,0.4559,0.5241,0.235
298,92,0.1211,0.323,0.4559,0.3183,0.2349
644,363,0.1167,0.3096,0.4559,0.3794,0.2348
612,260,0.1032,0.2512,0.3509,0.7239,0.2345
249,242,0.1137,0.2609,0.27,0.7239,0.2345
264,203,0.1265,0.2923,0.4559,0.3794,0.2345
128,140,0.1545,0.197,0.4559,0.5241,0.2344
619,235,0.1229,0.1959,0.5241,0.6159,0.2342
380,281,0.1022,0.2517,0.3509,0.7239,0.2341
619,108,0.1123,0.2347,0.4559,0.6159,0.2338
249,223,0.1268,0.2363,0.27,0.7239,0.2337
642,265,0.159,0.3403,0.2463,0.2746,0.2337
282,108,0.1032,0.2492,0.4559,0.6159,0.2336
234,42,0.1009,0.3759,0.3242,0.3794,0.2336
487,260,0.1319,0.1537,0.7696,0.4453,0.2335
515,260,0.1552,0.2306,0.5923,0.2746,0.2335
236,72,0.1177,0.3169,0.27,0.5241,0.2333
13,92,0.1133,0.1497,0.5923,0.7239,0.2332
282,285,0.1133,0.1497,0.5923,0.7239,0.2332
272,260,0.1303,0.1537,0.7696,0.4453,0.2327
15,349,0.1116,0.1961,0.4559,0.7239,0.2326
234,285,0.1125,0.2407,0.5923,0.4459,0.2323
264,285,0.132,0.2295,0.5923,0.3794,0.232
134,108,0.1253,0.2627,0.4559,0.4459,0.2316
403,203,0.1454,0.2864,0.3509,0.3789,0.2316
592,82,0.1039,0.3687,0.2078,0.4815,0.2315
612,286,0.1006,0.2108,0.4559,0.7239,0.2315
380,230,0.1024,0.2693,0.27,0.7239,0.2314
134,363,0.1165,0.2504,0.4559,0.5241,0.2314
12,232,0.1264,0.2417,0.4034,0.5522,0.2312
645,353,0.1792,0.2598,0.2554,0.3794,0.231
249,279,0.131,0.3001,0.3056,0.4459,0.2307
276,91,0.1044,0.3771,0.2078,0.4459,0.2307
58,50,0.1492,0.3233,0.2078,0.3794,0.2303
441,286,0.1274,0.2153,0.3509,0.6699,0.2303
3,62,0.1374,0.1345,0.5923,0.6159,0.2299
619,16,0.1188,0.3393,0.4114,0.2746,0.2298
423,31,0.1637,0.2162,0.27,0.5593,0.2297
249,92,0.1123,0.1853,0.4559,0.7239,0.2297
234,108,0.1019,0.3167,0.4559,0.3794,0.2295
380,279,0.1048,0.3394,0.3056,0.4459,0.2294
264,31,0.1335,0.2638,0.4559,0.3794,0.2294
342,263,0.1116,0.2316,0.4559,0.5849,0.2293
298,400,0.1258,0.295,0.4559,0.3183,0.2288
282,286,0.1253,0.1605,0.4559,0.7239,0.2288
566,26,0.2006,0.2383,0.2078,0.3614,0.2287
604,286,0.1356,0.2142,0.3509,0.6159,0.2287
58,241,0.1229,0.2678,0.5923,0.2746,0.2285
95,26,0.1633,0.3126,0.2078,0.3228,0.2285
648,137,0.1141,0.2891,0.5241,0.3228,0.2284
558,92,0.1171,0.3474,0.3509,0.3038,0.2282
632,367,0.1428,0.2336,0.6127,0.2542,0.2282
134,203,0.1264,0.2232,0.4559,0.5241,0.2282
134,92,0.1215,0.1848,0.5923,0.5241,0.2278
619,30,0.103,0.1937,0.4559,0.7239,0.2276
264,194,0.1376,0.2508,0.4559,0.3794,0.2275
18,204,0.1022,0.2292,0.3509,0.7239,0.2273
249,230,0.1137,0.2369,0.27,0.7239,0.2273
619,261,0.1046,0.3018,0.321,0.5241,0.2273
347,191,0.1353,0.1296,0.5923,0.6159,0.2273
492,0,0.1377,0.3149,0.3128,0.3228,0.2269
489,203,0.1458,0.3197,0.27,0.3093,0.2267
134,205,0.1246,0.2214,0.4559,0.5241,0.2267
13,230,0.1017,0.2275,0.3509,0.7239,0.2266
619,72,0.1319,0.2399,0.27,0.6159,0.2265
641,26,0.202,0.2364,0.27,0.2746,0.2264
638,241,0.1194,0.1524,0.5923,0.6159,0.2263
347,241,0.1026,0.1796,0.5923,0.6159,0.226
18,203,0.1022,0.224,0.3509,0.7239,0.2258
249,108,0.1261,0.2197,0.3509,0.6159,0.2257
491,363,0.1082,0.2145,0.4559,0.6159,0.2257
380,72,0.1253,0.2677,0.2078,0.6159,0.2253
528,72,0.1596,0.3027,0.27,0.2746,0.2251
264,108,0.1275,0.2776,0.4559,0.3228,0.2249
276,260,0.1619,0.0767,0.5923,0.6159,0.2248
106,302,0.1012,0.2866,0.2644,0.6159,0.2246
528,363,0.1549,0.2296,0.4559,0.3228,0.2242
619,32,0.117,0.1941,0.3509,0.7239,0.2242
638,285,0.1138,0.1537,0.5923,0.6159,0.2239
386,321,0.1006,0.1851,0.4559,0.7239,0.2238
648,108,0.1212,0.2834,0.4559,0.3228,0.2235
185,203,0.1271,0.2105,0.3509,0.6159,0.2234
659,345,0.2001,0.2634,0.21,0.2337,0.2234
279,286,0.104,0.2134,0.4559,0.6159,0.2232
13,95,0.1048,0.2755,0.3554,0.5241,0.223
264,279,0.1226,0.3287,0.3971,0.2337,0.223
15,279,0.1169,0.2671,0.3971,0.4459,0.2229
342,42,0.1009,0.3244,0.2495,0.4977,0.2225
592,91,0.1039,0.3386,0.2078,0.4815,0.2225
185,285,0.1249,0.1756,0.4559,0.6159,0.2223
508,140,0.1246,0.2736,0.4559,0.3228,0.2222
7,194,0.1137,0.2195,0.27,0.7239,0.2221
424,392,0.1206,0.3883,0.2286,0.2233,0.222
282,32,0.1008,0.2128,0.3509,0.7239,0.2217
69,287,0.1045,0.2946,0.4559,0.3511,0.2213
134,30,0.1079,0.2303,0.4559,0.5241,0.2211
15,250,0.1246,0.2335,0.27,0.6159,0.2209
448,36,0.1163,0.2888,0.3115,0.4459,0.2206
180,363,0.1753,0.1827,0.2078,0.5734,0.2206
619,170,0.1077,0.1524,0.5923,0.6159,0.2204
264,30,0.1116,0.2703,0.4559,0.3794,0.2204
432,294,0.1516,0.2552,0.3005,0.3794,0.2204
386,95,0.1208,0.2661,0.2735,0.5241,0.22
522,287,0.1013,0.2946,0.4559,0.3511,0.2197
180,194,0.1753,0.179,0.2078,0.5734,0.2195
7,363,0.1137,0.2108,0.27,0.7239,0.2195
15,32,0.1135,0.1839,0.3509,0.7239,0.2194
648,30,0.1168,0.2579,0.4559,0.3794,0.2193
172,241,0.1478,0.1427,0.4559,0.57,0.2193
648,279,0.132,0.3005,0.3971,0.2337,0.2192
249,95,0.1144,0.2736,0.2735,0.5241,0.219
380,30,0.1022,0.2015,0.3509,0.7239,0.219
460,286,0.1326,0.1154,0.4559,0.7239,0.2189
257,228,0.1831,0.2033,0.4286,0.2337,0.2188
249,250,0.1647,0.1799,0.2078,0.6159,0.2187
638,363,0.1378,0.1422,0.4559,0.6159,0.2187
528,250,0.1596,0.281,0.27,0.2746,0.2186
128,32,0.1316,0.1869,0.3509,0.6159,0.2186
3,286,0.1186,0.1734,0.4559,0.6159,0.2185
472,32,0.1332,0.148,0.3509,0.7239,0.2184
276,82,0.1044,0.3358,0.2078,0.4459,0.2183
113,46,0.1751,0.2704,0.27,0.2251,0.2182
279,169,0.1144,0.134,0.5923,0.6159,0.2182
644,194,0.1167,0.2541,0.4559,0.3794,0.2181
298,231,0.1436,0.2421,0.4559,0.2789,0.2179
58,203,0.1192,0.2841,0.4559,0.2746,0.2179
58,363,0.1196,0.2837,0.4559,0.2746,0.2179
537,359,0.1548,0.2648,0.2476,0.362,0.2178
659,321,0.1143,0.1324,0.5923,0.6159,0.2177
445,204,0.1022,0.228,0.4559,0.5241,0.2175
79,26,0.1318,0.3078,0.27,0.3228,0.2175
347,363,0.1187,0.1695,0.4559,0.6159,0.2174
386,305,0.1031,0.2931,0.2555,0.5241,0.2174
7,203,0.1024,0.2227,0.27,0.7239,0.2174
445,235,0.113,0.2126,0.5241,0.4459,0.2173
234,140,0.116,0.2526,0.4559,0.3794,0.2173
13,170,0.1004,0.1537,0.5923,0.6159,0.2171
185,204,0.1271,0.1896,0.3509,0.6159,0.2171
638,400,0.1192,0.1216,0.5923,0.6159,0.2169
180,263,0.1302,0.2246,0.27,0.5734,0.2168
380,305,0.1188,0.2642,0.2555,0.5241,0.2166
410,228,0.1787,0.2033,0.4286,0.2337,0.2166
106,260,0.1041,0.1894,0.3509,0.7239,0.2164
276,285,0.1009,0.2066,0.5923,0.4459,0.2162
612,205,0.1006,0.1594,0.4559,0.7239,0.2161
106,204,0.1014,0.1579,0.4559,0.7239,0.216
234,170,0.115,0.2041,0.5923,0.3794,0.2159
18,363,0.1174,0.1655,0.3509,0.7239,0.2158
585,170,0.1146,0.2531,0.5923,0.2337,0.2158
243,26,0.1282,0.3078,0.27,0.3228,0.2157
298,286,0.1113,0.3105,0.3509,0.3183,0.2157
249,281,0.1174,0.1648,0.3509,0.7239,0.2156
325,72,0.1404,0.3027,0.27,0.2746,0.2155
187,32,0.136,0.1333,0.3509,0.7239,0.2155
656,260,0.1111,0.2101,0.3509,0.6159,0.2153
421,241,0.125,0.204,0.5923,0.3228,0.2152
13,140,0.1008,0.1913,0.4559,0.6159,0.215
18,241,0.103,0.1513,0.4559,0.7239,0.2148
488,241,0.1261,0.223,0.4559,0.3926,0.2148
448,308,0.1233,0.2231,0.3379,0.5241,0.2147
537,358,0.1548,0.254,0.2476,0.362,0.2146
386,108,0.1046,0.2185,0.3509,0.6159,0.2145
180,204,0.1261,0.2446,0.2078,0.5734,0.2145
344,140,0.1012,0.3027,0.4559,0.2746,0.2145
403,137,0.1111,0.2877,0.4034,0.3224,0.2145
558,140,0.1295,0.2589,0.4559,0.2638,0.2144
371,363,0.1389,0.2394,0.4559,0.2746,0.2143
234,79,0.1175,0.313,0.3413,0.2746,0.2143
2,241,0.1093,0.287,0.4559,0.2782,0.2142
537,362,0.1548,0.2527,0.2476,0.362,0.2142
592,79,0.1108,0.3146,0.2949,0.3478,0.214
447,204,0.1021,0.2768,0.3509,0.4459,0.2138
80,204,0.1245,0.2446,0.2078,0.5734,0.2137
264,140,0.1426,0.2153,0.4559,0.3228,0.2137
282,363,0.1123,0.1321,0.4559,0.7239,0.2137
23,84,0.1307,0.2417,0.5241,0.2334,0.2136
220,155,0.1956,0.2252,0.2078,0.2746,0.2136
644,108,0.1012,0.2834,0.4559,0.3228,0.2135
44,26,0.1235,0.3078,0.27,0.3228,0.2134
481,340,0.1214,0.2085,0.4559,0.4459,0.2134
4,285,0.1132,0.1188,0.5923,0.6159,0.2131
445,263,0.1309,0.1201,0.5923,0.5241,0.2131
656,235,0.1272,0.1483,0.5241,0.5241,0.2129
528,194,0.1549,0.1919,0.4559,0.3228,0.2129
77,389,0.2085,0.1883,0.27,0.2509,0.2129
424,128,0.1206,0.3579,0.2286,0.2233,0.2128
234,400,0.1006,0.1953,0.5923,0.4459,0.2127
276,206,0.109,0.1809,0.5923,0.4459,0.2126
311,363,0.1354,0.2394,0.4559,0.2746,0.2126
380,95,0.1229,0.2375,0.2735,0.5241,0.2125
626,194,0.1033,0.1427,0.4559,0.7239,0.2124
644,235,0.1272,0.2136,0.5241,0.3228,0.2123
276,241,0.1321,0.1411,0.5923,0.4459,0.2122
134,287,0.1177,0.1387,0.5923,0.5241,0.2121
79,263,0.1008,0.2331,0.5923,0.3228,0.2119
659,360,0.2024,0.1699,0.3224,0.2746,0.2119
134,91,0.1015,0.2929,0.2078,0.5241,0.2118
386,31,0.1274,0.1353,0.3509,0.7239,0.2118
421,281,0.1079,0.2666,0.4559,0.3228,0.2118
481,241,0.1217,0.1794,0.5923,0.3794,0.2118
619,260,0.1082,0.1674,0.3509,0.7239,0.2118
626,286,0.1489,0.064,0.4559,0.7239,0.2117
508,285,0.1163,0.1881,0.5923,0.3794,0.2117
432,250,0.1499,0.2173,0.27,0.4459,0.2117
656,72,0.1199,0.2409,0.27,0.5241,0.2116
249,235,0.1122,0.1785,0.4034,0.6159,0.2116
528,204,0.1234,0.2391,0.4559,0.3228,0.2113
13,242,0.1017,0.1765,0.3509,0.7239,0.2113
18,95,0.1059,0.2621,0.2735,0.5241,0.2113
220,158,0.184,0.2411,0.2355,0.2337,0.2113
80,263,0.1189,0.2246,0.27,0.5734,0.2112
648,263,0.1017,0.2106,0.5923,0.3794,0.2112
69,302,0.1244,0.3294,0.2035,0.2987,0.2112
172,194,0.1623,0.1258,0.3509,0.57,0.211
79,203,0.1135,0.2546,0.4559,0.3228,0.211
276,281,0.1078,0.2227,0.4559,0.4459,0.2109
222,291,0.1158,0.3422,0.27,0.2337,0.2109
638,194,0.1378,0.1158,0.4559,0.6159,0.2108
264,238,0.1424,0.2231,0.4034,0.3228,0.2107
560,0,0.1289,0.3351,0.2407,0.2163,0.2107
472,170,0.1068,0.1216,0.5923,0.6159,0.2107
494,363,0.1371,0.1164,0.4559,0.6159,0.2107
172,363,0.1623,0.1246,0.3509,0.57,0.2106
371,194,0.1389,0.2266,0.4559,0.2746,0.2105
644,263,0.1001,0.2106,0.5923,0.3794,0.2104
583,92,0.1287,0.2598,0.3509,0.3302,0.2104
423,286,0.1353,0.1993,0.27,0.5593,0.2104
243,203,0.1119,0.2546,0.4559,0.3228,0.2102
134,238,0.1174,0.2221,0.4034,0.4459,0.2102
249,46,0.15,0.1398,0.2078,0.7239,0.2101
648,235,0.1226,0.2136,0.5241,0.3228,0.2101
80,363,0.1541,0.1827,0.2078,0.5734,0.21
2,363,0.1196,0.2909,0.3509,0.2782,0.21
276,194,0.1423,0.1614,0.4559,0.4459,0.2098
445,363,0.1552,0.1135,0.4559,0.5241,0.2097
322,169,0.1202,0.1934,0.5923,0.3228,0.2096
647,158,0.185,0.2047,0.302,0.2542,0.2095
612,367,0.1218,0.1324,0.4716,0.6159,0.2094
44,203,0.1103,0.2546,0.4559,0.3228,0.2094
648,281,0.1168,0.225,0.4559,0.3794,0.2094
386,62,0.1326,0.0839,0.4559,0.7239,0.2094
583,286,0.1558,0.2376,0.27,0.3302,0.2092
249,170,0.1265,0.129,0.4559,0.6159,0.2091
355,32,0.1128,0.1869,0.3509,0.6159,0.2091
585,263,0.1088,0.2264,0.5923,0.2746,0.209
325,250,0.1404,0.281,0.27,0.2746,0.209
13,279,0.1049,0.2407,0.3971,0.4459,0.2089
185,92,0.1286,0.1246,0.4559,0.6159,0.2089
280,84,0.1246,0.2574,0.4034,0.2907,0.2089
80,194,0.1541,0.179,0.2078,0.5734,0.2089
448,286,0.1268,0.255,0.4559,0.2337,0.2089
447,194,0.1135,0.2415,0.3509,0.4459,0.2089
347,286,0.1152,0.1467,0.4559,0.6159,0.2088
4,363,0.1324,0.118,0.4559,0.6159,0.2088
298,204,0.1126,0.285,0.3509,0.3183,0.2087
528,241,0.1258,0.181,0.5923,0.3228,0.2087
311,194,0.1354,0.2266,0.4559,0.2746,0.2087
15,260,0.1058,0.1608,0.3509,0.7239,0.2086
481,302,0.1154,0.3068,0.2644,0.3228,0.2085
528,223,0.134,0.2468,0.3509,0.3228,0.2084
619,279,0.1023,0.2433,0.3971,0.4459,0.2084
659,238,0.1524,0.1304,0.4034,0.5241,0.2081
447,108,0.1046,0.2754,0.3509,0.3794,0.208
276,83,0.1125,0.3004,0.3413,0.2746,0.208
180,241,0.1428,0.1739,0.27,0.5734,0.2079
649,363,0.1313,0.1164,0.4559,0.6159,0.2078
44,241,0.1352,0.1623,0.5923,0.3228,0.2078
3,95,0.1173,0.2297,0.3554,0.4459,0.2077
249,260,0.1185,0.1636,0.27,0.7239,0.2077
606,158,0.1832,0.1949,0.2324,0.3441,0.2077
121,303,0.1104,0.2964,0.2554,0.3794,0.2076
347,92,0.1171,0.0939,0.5923,0.6159,0.2075
264,275,0.1195,0.1875,0.5923,0.3228,0.2075
236,363,0.1152,0.1422,0.4559,0.6159,0.2074
645,294,0.1498,0.2633,0.3005,0.2337,0.2073
648,72,0.1569,0.2321,0.27,0.3228,0.2073
7,285,0.1017,0.1632,0.3509,0.7239,0.2073
447,285,0.1023,0.2193,0.4559,0.4459,0.2071
121,285,0.1093,0.2029,0.5923,0.3228,0.207
447,203,0.1021,0.2543,0.3509,0.4459,0.207
638,92,0.1019,0.117,0.5923,0.6159,0.2069
187,349,0.1255,0.0872,0.4559,0.7239,0.2069
355,365,0.1024,0.3373,0.2692,0.2746,0.2068
522,302,0.1155,0.3294,0.2035,0.2987,0.2068
185,281,0.1095,0.1844,0.3509,0.6159,0.2067
347,194,0.1187,0.1336,0.4559,0.6159,0.2066
185,286,0.1331,0.1442,0.3509,0.6159,0.2065
534,400,0.1154,0.2175,0.4559,0.3794,0.2065
481,30,0.1016,0.2406,0.4559,0.3794,0.2065
325,363,0.1196,0.2296,0.4559,0.3228,0.2065
